시장,업종구분,종목명,종목코드,시가총액,유통비율,업종코드
Q,유통,엑시온그룹,069920,731 ,59,108
Q,기계/장비,엑시콘,092870,1403 ,57,123
Q,기타제조,엔바이오니아,317870,1358 ,71,127
Q,운송장비/부품,엔브이에이치코리아,067570,978 ,58,126
Q,일반서비스,엔비티,236810,502 ,65,103
Q,전기/전자,엔시스,333620,737 ,41,124
Q,전기/전자,엔시트론,101400,264 ,86,124
Q,오락/문화,엔에스이엔엠,078860,855 ,80,141
Q,금융,엔에이치스팩25호,438580,0 ,,111
Q,금융,엔에이치스팩26호,439410,189 ,88,111
Q,금융,엔에이치스팩27호,440820,167 ,90,111
Q,금융,엔에이치스팩29호,451700,296 ,93,111
Q,금융,엔에이치스팩30호,466910,186 ,89,111
Q,금융,엔에이치스팩31호,481890,130 ,95,111
Q,화학,엔에프씨,265740,635 ,47,119
Q,일반서비스,엔젠바이오,354200,398 ,83,103
Q,기계/장비,엔젤로보틱스,455900,3530 ,69,123
Q,기계/장비,엔젯,419080,772 ,62,123
Q,IT 서비스,엔지스테크널러지,208860,749 ,31,129
Q,제약,엔지켐생명과학,183490,1002 ,78,120
Q,제약,엔케이맥스,182400,1727 ,98,120
Q,화학,엔켐,348370,12483 ,77,119
Q,IT 서비스,엔텔스,069410,512 ,70,129
Q,기계/장비,엔투텍,227950,647 ,90,123
Q,일반서비스,엔피,291230,758 ,77,103
Q,전기/전자,엔피디,198080,528 ,35,124
Q,화학,엔피케이,048830,204 ,50,119
Q,전기/전자,엘디티,096870,173 ,69,124
Q,제약,엘앤씨바이오,290650,7484 ,68,120
Q,의료/정밀기기,엘앤케이바이오,156100,1192 ,86,125
Q,전기/전자,엘엠에스,073110,576 ,31,124
Q,기계/장비,엘오티베큠,083310,1665 ,64,123
Q,전기/전자,엘컴텍,037950,828 ,42,124
Q,화학,엘케이켐,489500,1293 ,36,119
Q,화학,엘티씨,170920,989 ,64,119
Q,IT 서비스,엠게임,058630,1083 ,76,129
Q,전기/전자,엠디바이스,226590,1181 ,62,124
Q,IT 서비스,엠로,058970,6242 ,58,129
Q,일반서비스,엠브레인,169330,412 ,33,103
Q,IT 서비스,엠아이큐브솔루션,373170,428 ,30,129
Q,의료/정밀기기,엠아이텍,179290,2518 ,46,125
Q,음식료/담배,엠에스씨,009780,1529 ,26,115
Q,운송장비/부품,엠에스오토텍,123040,1657 ,31,126
Q,제약,엠에프씨,432980,363 ,50,120
Q,섬유/의류,엠에프엠코리아,323230,7 ,89,116
Q,기계/장비,엠오티,413390,904 ,44,123
Q,유통,엠젠솔루션,032790,493 ,86,108
Q,전기/전자,엠케이전자,033160,1675 ,59,124
Q,의료/정밀기기,엠투아이,347890,978 ,37,125
Q,전기/전자,엠투엔,033310,863 ,60,124
Q,기계/장비,엠플러스,259630,965 ,73,123
Q,전기/전자,엣지파운드리,105550,2807 ,83,124
Q,IT 서비스,영림원소프트랩,060850,448 ,69,129
Q,기계/장비,영우디에스피,143540,268 ,78,123
Q,운송장비/부품,영화테크,265560,863 ,47,126
Q,오락/문화,예림당,036000,880 ,45,141
Q,화학,예선테크,250930,175 ,61,119
